web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,stars,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,14/04/2023,22/04/2023,28/04/2023,745,745,,781984,0.0,Résidence Moutelette,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,29/04/2023,05/05/2023,1277,1277,,782114,0.0,Résidence Cattin,La Clusaz - Haute Savoie,,17,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,900,900,,782434,0.0,Résidence Escale Blanche,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,29/04/2023,05/05/2023,672,672,,782594,0.0,Résidence Arcades,La Clusaz - Haute Savoie,,17,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,703,703,,782274,0.0,Résidence Confins,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,708,708,,782154,0.0,Résidence Aravis 1600,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,1245,1245,,781754,0.0,Résidence Cle Des Champs,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,06/05/2023,12/05/2023,630,630,,781074,0.0,Résidence La Pointe Des Verres,La Clusaz - Haute Savoie,,18,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,638,638,,782694,0.0,Résidence Aigles Ii,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,732,732,,782254,0.0,Résidence Wapiti,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,750,750,,782024,0.0,Résidence Campanes,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,1031,1031,,204043,0.0,Location de Vacances La Clusaz 329,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,15/07/2023,21/07/2023,966,966,,783084,0.0,Résidence Bois Dore,La Clusaz - Haute Savoie,,28,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,573,573,,782404,0.0,Résidence Crocus,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,958,958,,204034,5.0,Location de Vacances La Clusaz 323,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,1744,1744,,205430,0.0,Location de Vacances La Clusaz 377,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,559,559,,204005,0.0,Location de Vacances La Clusaz 313,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,604,604,,204000,0.0,Location de Vacances La Clusaz 304,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,384,384,,782984,0.0,Résidence Belmont,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
